"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
145,"SU",4251791,,,"14511","4510"
145,"SU",4251792,,,"14541","4510"
145,"SU",4251793,,,"14511","4510"
145,"SU",4251794,,,"14541","4510"
145,"SU",4251795,,,"14511","4510"
145,"SU",4251796,,,"14541","4510"
145,"SU",4251797,,,"14511","4510"
145,"SU",4251798,,,"14541","4510"
145,"SU",4251799,,,"14511","4501"
145,"SU",4251800,,,"14541","4501"
145,"SU",4251801,,,"14511","4501"
145,"SU",4251802,,,"14541","4501"
145,"SU",4251803,,,"14511","4501"
145,"SU",4251804,,,"14541","4501"
145,"SU",4251805,,,"14511","4501"
145,"SU",4251806,,,"14541","4501"
145,"SU",4251807,,,"14511","4501"
145,"SU",4251808,,,"14541","4501"
145,"SU",4251809,,,"14511","4501"
145,"SU",4251810,,,"6415","4501"
145,"WD",4266803,,,"5141","4510"
145,"WD",4266804,,,"5141","4511"
145,"WD",4266817,,,"5141","4510"
145,"WD",4266818,,,"5141","4511"
145,"WD",4266821,,,"5141","4510"
145,"WD",4266822,,,"5141","4511"
145,"WD",4266845,,,"14511","4510"
145,"WD",4266846,,,"14511","4511"
145,"WD",4266848,,,"14511","4510"
145,"WD",4266849,,,"14511","4511"
145,"WD",4266852,,,"14511","4510"
145,"WD",4266853,,,"14511","4511"
145,"WD",4266854,,,"14511","4510"
145,"WD",4266855,,,"14511","4511"
145,"WD",4266856,,,"14511","4510"
145,"WD",4266857,,,"14511","4511"
145,"WD",4266858,,,"14511","4510"
145,"WD",4266859,,,"14511","4511"
145,"WD",4266860,,,"14511","4510"
145,"WD",4266861,,,"14511","4511"
145,"WD",4266864,,,"14511","4510"
145,"WD",4266865,,,"14511","4511"
145,"WD",4266866,,,"14541","4510"
145,"WD",4266867,,,"14541","4511"
145,"WD",4266870,,,"14541","4510"
145,"WD",4266871,,,"14541","4511"
145,"WD",4266872,,,"14541","4510"
145,"WD",4266873,,,"14541","4511"
145,"WD",4266874,,,"14541","4510"
145,"WD",4266875,,,"14541","4511"
145,"WD",4266876,,,"14541","4510"
145,"WD",4266877,,,"14541","4511"
145,"WD",4266878,,,"14541","4510"
145,"WD",4266879,,,"14541","4511"
145,"WD",4266882,,,"14541","4510"
145,"WD",4266885,,,"14542","4510"
145,"WD",4266886,,,"14542","4511"
145,"WD",4266887,,,"7616","4510"
145,"WD",4266888,,,"14543","4511"
145,"WD",4266891,,,"14543","4510"
145,"WD",4266892,,,"14543","4511"
145,"WD",4266895,,,"5543","4510"
153,"SA",4248123,,,"15341","4900"
153,"SA",4248124,,,"15342","4900"
153,"SA",4248125,,,"15341","4900"
153,"SA",4248126,,,"15342","4900"
153,"SA",4248127,,,"15341","4900"
153,"SA",4248128,,,"15342","4900"
153,"SA",4248129,,,"15341","4900"
153,"SA",4248130,,,"15342","4900"
153,"SA",4248131,,,"15341","4900"
153,"SA",4248132,,,"15342","4900"
153,"SA",4248133,,,"15341","4900"
153,"SA",4248134,,,"3843","4900"
153,"SA",4248135,,,"15341","4901"
153,"SA",4248136,,,"15342","4901"
153,"SA",4248137,,,"15341","4901"
153,"SA",4248138,,,"15342","4901"
153,"SA",4248139,,,"15341","4901"
153,"SA",4248140,,,"15342","4901"
153,"SA",4248141,,,"15341","4901"
153,"SA",4248142,,,"15342","4901"
153,"SA",4248143,,,"15341","4901"
153,"SA",4248144,,,"15342","4901"
153,"SA",4248145,,,"15341","4901"
153,"SA",4248146,,,"15342","4901"
153,"SA",4248147,,,"2945","4901"
153,"SA",4248148,,,"5641","4900"
153,"SA",4248149,,,"15342","4900"
153,"SA",4248150,,,"15341","4900"
153,"SA",4248151,,,"15341","4901"
153,"SA",4248152,,,"15341","4901"
153,"SA",4248153,,,"15342","4901"
153,"SU",4250887,,,"15341","4900"
153,"SU",4250888,,,"15342","4900"
153,"SU",4250889,,,"15341","4900"
153,"SU",4250890,,,"15342","4900"
153,"SU",4250891,,,"15341","4900"
153,"SU",4250892,,,"15342","4900"
153,"SU",4250893,,,"15341","4900"
153,"SU",4250894,,,"15342","4900"
153,"SU",4250895,,,"15341","4900"
153,"SU",4250896,,,"15342","4900"
153,"SU",4250897,,,"15342","4900"
153,"SU",4250898,,,"15341","4901"
153,"SU",4250899,,,"15342","4901"
153,"SU",4250900,,,"15341","4901"
153,"SU",4250901,,,"15342","4901"
153,"SU",4250902,,,"15341","4901"
153,"SU",4250903,,,"15342","4901"
153,"SU",4250904,,,"15341","4901"
153,"SU",4250905,,,"15342","4901"
153,"SU",4250906,,,"15341","4901"
153,"SU",4250907,,,"15341","4901"
153,"SU",4250908,,,"15341","4901"
153,"SU",4250909,,,"15341","4900"
153,"SU",4250910,,,"15342","4900"
153,"SU",4250911,,,"15341","4900"
153,"SU",4250912,,,"15342","4901"
153,"SU",4250913,,,"15342","4901"
153,"SU",4250914,,,"15341","4901"
153,"WD",4242685,,,"15362","4901"
153,"WD",4242686,,,"15362","4900"
153,"WD",4242687,,,"15362","4901"
153,"WD",4242688,,,"15362","4900"
153,"WD",4242689,,,"15362","4901"
153,"WD",4242690,,,"15362","4900"
153,"WD",4242691,,,"15362","4901"
153,"WD",4242692,,,"15362","4900"
153,"WD",4242693,,,"15362","4901"
153,"WD",4242694,,,"15362","4900"
153,"WD",4242695,,,"15362","4901"
153,"WD",4242696,,,"15362","4900"
153,"WD",4242697,,,"15362","4901"
153,"WD",4242698,,,"15362","4900"
153,"WD",4242699,,,"15362","4901"
153,"WD",4242700,,,"15362","4900"
153,"WD",4242701,,,"15362","4901"
153,"WD",4242706,,,"3761","4901"
153,"WD",4242707,,,"3761","4900"
153,"WD",4242708,,,"5362","4901"
153,"WD",4242709,,,"15361","4900"
153,"WD",4242710,,,"15361","4901"
153,"WD",4242711,,,"15361","4900"
153,"WD",4242712,,,"15361","4901"
153,"WD",4242713,,,"15361","4900"
153,"WD",4242714,,,"15361","4901"
153,"WD",4242715,,,"15361","4900"
153,"WD",4242716,,,"15361","4901"
153,"WD",4242717,,,"15363","4900"
153,"WD",4242718,,,"15363","4901"
153,"WD",4242719,,,"15363","4900"
153,"WD",4242720,,,"15363","4901"
153,"WD",4242721,,,"15363","4900"
153,"WD",4242722,,,"15363","4901"
153,"WD",4242723,,,"15363","4900"
153,"WD",4242724,,,"15363","4901"
167,"SA",4255516,,,"16781","6721"
167,"SA",4255517,,,"16782","6721"
167,"SA",4255518,,,"16781","6721"
167,"SA",4255519,,,"16782","6721"
167,"SA",4255520,,,"16781","6721"
167,"SA",4255521,,,"16782","6721"
167,"SA",4255522,,,"16781","6721"
167,"SA",4255523,,,"16782","6721"
167,"SA",4255524,,,"16782","6721"
167,"SA",4255525,,,"16781","6721"
167,"SA",4255526,,,"16781","6720"
167,"SA",4255527,,,"16781","6720"
167,"SA",4255528,,,"16782","6720"
167,"SA",4255529,,,"16782","6720"
167,"SA",4255530,,,"16781","6720"
167,"SA",4255531,,,"16781","6720"
167,"SA",4255532,,,"16782","6720"
167,"SA",4255533,,,"16782","6720"
167,"SA",4255534,,,"16781","6720"
167,"SA",4255535,,,"16782","6720"
167,"SU",4256293,,,"16781","6721"
167,"SU",4256294,,,"16782","6721"
167,"SU",4256295,,,"16781","6721"
167,"SU",4256296,,,"16782","6721"
167,"SU",4256297,,,"16781","6721"
167,"SU",4256298,,,"16782","6721"
167,"SU",4256299,,,"16781","6721"
167,"SU",4256300,,,"16782","6721"
167,"SU",4256301,,,"16782","6721"
167,"SU",4256302,,,"16781","6721"
167,"SU",4256303,,,"16781","6720"
167,"SU",4256304,,,"16782","6720"
167,"SU",4256305,,,"16782","6720"
167,"SU",4256306,,,"16781","6720"
167,"SU",4256307,,,"16781","6720"
167,"SU",4256308,,,"16782","6720"
167,"SU",4256309,,,"16782","6720"
167,"SU",4256310,,,"16781","6720"
167,"SU",4256311,,,"16781","6720"
167,"SU",4256312,,,"16782","6720"
167,"WD",4254388,,,"16782","6700"
167,"WD",4254389,,,"16782","6701"
167,"WD",4254390,,,"16782","6700"
167,"WD",4254391,,,"16782","6701"
167,"WD",4254392,,,"16782","6700"
167,"WD",4254393,,,"16782","6701"
167,"WD",4254394,,,"16787","6700"
167,"WD",4254395,,,"16787","6701"
167,"WD",4254396,,,"16787","6700"
167,"WD",4254397,,,"16787","6701"
167,"WD",4254398,,,"16784","6700"
167,"WD",4254399,,,"16784","6701"
167,"WD",4254400,,,"16783","6700"
167,"WD",4254401,,,"16783","6701"
167,"WD",4254402,,,"16785","6700"
167,"WD",4254403,,,"16785","6701"
167,"WD",4254404,,,"16785","6700"
167,"WD",4254405,,,"16785","6701"
167,"WD",4254406,,,"16785","6700"
167,"WD",4254407,,,"16785","6701"
167,"WD",4254408,,,"16781","6701"
167,"WD",4254409,,,"16781","6700"
167,"WD",4254410,,,"16781","6701"
167,"WD",4254411,,,"16781","6700"
